,2,4,8,16,32
16 KB,0.0204315,0.0194406,0.0192379,0.0192098,0.0191704
32 KB,0.0191591,0.0191591,0.0191535,0.0191084,0.0191084
64 KB,0.0191084,0.0191084,0.0191084,0.0191084,0.0191084
128 KB,0.0191084,0.0191084,0.0191084,0.0191084,0.0191084
256 KB,0.0191084,0.0191084,0.0191084,0.0191084,0.0191084
512 KB,0.0191084,0.0191084,0.0191084,0.0191084,0.0191084
1024 KB,0.0191084,0.0191084,0.0191084,0.0191084,0.0191084
4096 KB,0.0191084,0.0191084,0.0191084,0.0191084,0.0191084
16384 KB,0.0191084,0.0191084,0.0191084,0.0191084,0.0191084
32768 KB,0.0191084,0.0191084,0.0191084,0.0191084,0.0191084
