,2,4,8,16,32,64,128,256,512,1024,2048,4096
16 KB,0.0499105,0.0497078,0.0421973,0.0319562,0.0242824,0.0192379,0.0161921,0.0141934,0.0120652,0.0122792
32 KB,0.0499049,0.0497022,0.0421917,0.0319224,0.0242149,0.0191535,0.0159387,0.0139231,0.0118006,0.00861399,0.0051515
64 KB,0.0499049,0.0497022,0.0421917,0.0319224,0.0242149,0.0191084,0.0159274,0.013895,0.0117443,0.00852391,0.00491504,0.00148071
128 KB,0.0499049,0.0497022,0.0421917,0.0319224,0.0242149,0.0191084,0.0159274,0.013895,0.0117387,0.00850702,0.00487,0.00141878
256 KB,0.0499049,0.0497022,0.0421917,0.0319224,0.0242149,0.0191084,0.0159274,0.013895,0.0117387,0.00850702,0.00486437,0.00140752
512 KB,0.0499049,0.0497022,0.0421917,0.0319224,0.0242149,0.0191084,0.0159274,0.013895,0.0117387,0.00850702,0.00486437,0.00140752
1024 KB,0.0499049,0.0497022,0.0421917,0.0319224,0.0242149,0.0191084,0.0159274,0.013895,0.0117387,0.00850702,0.00486437,0.00140752
4096 KB,0.0499049,0.0497022,0.0421917,0.0319224,0.0242149,0.0191084,0.0159274,0.013895,0.0117387,0.00850702,0.00486437,0.00140752
16384 KB,0.0499049,0.0497022,0.0421917,0.0319224,0.0242149,0.0191084,0.0159274,0.013895,0.0117387,0.00850702,0.00486437,0.00140752
32768 KB,0.0499049,0.0497022,0.0421917,0.0319224,0.0242149,0.0191084,0.0159274,0.013895,0.0117387,0.00850702,0.00486437,0.00140752
